castell,castell_short, punts_carregat, punts_descarregat, gamma
PILAR DE CINC,Pde5, 135, 155, 7
QUATRE DE SET AMB AGULLA / PILAR,4de7a, 250, 275, 7
CINC DE SET,5de7,265, 305, 7
TRES DE SET PER SOTA,3de7xs,315,335, 7
QUATRE DE SIS NET,4de6net, 0, 0, 6
TRES DE SIS NET,3de6net, 0, 0, 6
PILAR DE QUATRE,Pde4, 0, 0, 6
QUATRE DE SIS,4de6, 0, 0, 6
TRES DE SIS,3de6, 0, 0, 6
QUATRE DE SIS AMB AGULLA / PILAR,4de6a, 0, 0, 6
TRES DE SIS PER SOTA,3de6xs, 0, 0, 6
TRES DE SET,3de7, 185, 210, 7
DOS / TORRE DE SET,2de7,385,440, 7
DOS / TORRE DE SIS,2de6, 120, 140, 6
QUATRE DE VUIT,4de8,400,460, 8
TRES DE VUIT,3de8,445,510, 8
DOS / TORRE DE VUIT AMB FOLRE,2de8f,580,665, 8
PILAR DE QUATRE CAMINANT,Pde4cam, 0, 0, 6
CINC DE SIS NET,5de6net, 0, 0, 6
PILAR DE CINC PER SOTA,Pde5xs, 135, 155, 7
CINC DE SIS,5de6, 0, 0, 6
QUATRE DE SET,4de7, 175, 200, 7
DOS / TORRE DE SIS NET,2de6net, 0, 0, 6
QUATRE DE NOU AMB FOLRE,4de9f,920,1055, 9
TRES DE NOU AMB FOLRE,3de9f,965,1110, 9
QUATRE DE SIS AMB AGULLA /  PILAR NET,4de6anet, 0, 0, 6
PILAR DE QUATRE PER SOTA,Pde4xs, 0, 0, 6
TRES DE SIS PER SOTA NET,3de6xs, 0, 0, 6
NOU DE SET,9de7,365,420, 7
CINC DE VUIT,5de8,640,735, 8
DOS / TORRE DE NOU AMB FOLRE I MANILLES,2de9fm, 1330,1530, Extra
NOU DE SIS,9de6, 165, 190, 6
QUATRE DE SET NET,4de7net, 175, 200, 7
TRES DE SET NET,3de7net, 185, 210, 7
PILAR DE QUATRE NET,Pde4net, 0, 0, 6
TRES DE SIS AMB AGULLA / PILAR NET,3de6anet, 0, 0, 6
PILAR DE QUATRE PER SOTA CAMINANT,Pde4xscam, 0, 0, 6
TRES DE SIS AMB AGULLA / PILAR,3de6a, 0, 0, 6
QUATRE DE VUIT AMB AGULLA / PILAR,4de8a, 700, 770, 8
PILAR DE SET AMB FOLRE,Pde7f,610,695, 8
PILAR DE SIS,Pde6,425,485, 8
PILAR DE CINC CAMINANT,Pde5cam, 135, 155, 7
TRES DE DEU AMB FOLRE I MANILLES,3de10fm,2130,2450, Extra
QUATRE DE NOU AMB FOLRE I AGULLA / PILAR,4de9fa,1630,1800, Extra
PILAR DE VUIT AMB FOLRE I MANILLES,Pde8fm,1395,1605, Extra
DOS / TORRE DE VUIT SENSE FOLRE,2de8, 2080, 2395, Extra
QUATRE DE NOU SENSE FOLRE,4de9,2015,2315, Extra
CINC DE NOU AMB FOLRE,5de9f,1515,1740, Extra
DOS / TORRE DE SIS PER SOTA,2de6xs, 0, 0, 6
SET DE SIS,7de6, 0, 0, 6
TRES DE SET AMB AGULLA / PILAR,3de7a, 240, 265, 7
TRES DE VUIT PER SOTA,3de8xs,1325,1460, Extra
SIS DE SIS,6de6, 0, 0, 6
TRES DE NOU SENSE FOLRE,3de9,2565,2950, Extra
PILAR DE QUATRE PER SOTA NET,Pde4xsnet, 0, 0, 6
DOS / TORRE DE SET AMB FOLRE,2de7f, 0, 0, 6
NOU DE SIS NET,9de6net, 0, 0, 6
NOU DE VUIT,9de8,1210,1390, Extra
PILAR DE SIS PER SOTA,Pde6xs, 425, 485, 8
PILAR DE CINC NET,Pde5net, 0, 0, 7
DOS / TORRE DE NOU SENSE MANILLES,2de9f,2330,2675, Extra
PILAR DE NOU FOLRE MANILLES PUNTALS,Pde9fmp,2445,2810, Extra
PILAR DE CINC AMB FOLRE,Pde5f, 0, 0, 6
TRES DE VUIT AMB AGULLA / PILAR,3de8a,730,805, 8
DOTZE DE SET,12de7, 0, 0, 7
DOS / TORRE DE SET PER SOTA,2de7xs, 0, 0, 7
TRES DE NOU AMB FOLRE I AGULLA / PILAR,3de9fa,1680,1855, Extra
CINC DE SET AMB AGULLA / PILAR,5de7a, 0, 0, 7
CINC DE SIS AMB AGULLA / PILAR,5de6a, 0, 0, 6
SET DE SET,7de7, 250, 290, 7
CINC DE VUIT AMB AGULLA / PILAR,5de8a,765,845, 8
SET DE SIS AMB DUES AGULLES / PILARS,7de6a, 0, 0, 6
QUATRE DE SET PER SOTA,4de7xs, 0, 0, 7
SET DE VUIT,7de8,550,635, 8
SET DE SIS NET,7de6net, 0, 0, 6
PILAR DE SIS AMB FOLRE,Pde6f, 0, 0, 7
